"동별(1)","동별(2)",동별(3),구분별(1),구분별(2),구분별(3),2010
"서울시","소계",소계,총가구,소계,소계,3577497
"서울시","소계",소계,총가구,일반가구,소계,3504297
"서울시","소계",소계,총가구,일반가구,1인가구,854606
"서울시","소계",소계,총가구,일반가구,비친족(혈연)가구,39252
"서울시","소계",소계,총가구,일반가구,보통가구,2610439
"서울시","소계",소계,총가구,집단가구,비혈연 6인이상 가구,1158
"서울시","소계",소계,총가구,집단가구,집단시설가구,1678
"서울시","소계",소계,총가구,외국인가구,소계,70364
"서울시","종로구",소계,총가구,소계,소계,60008
"서울시","종로구",소계,총가구,일반가구,소계,57807
"서울시","종로구",소계,총가구,일반가구,1인가구,18156
"서울시","종로구",소계,총가구,일반가구,비친족(혈연)가구,1021
"서울시","종로구",소계,총가구,일반가구,보통가구,38630
"서울시","종로구",소계,총가구,집단가구,비혈연 6인이상 가구,37
"서울시","종로구",소계,총가구,집단가구,집단시설가구,115
"서울시","종로구",소계,총가구,외국인가구,소계,2049
"서울시","종로구",사직동,총가구,소계,소계,3536
"서울시","종로구",사직동,총가구,일반가구,소계,3442
"서울시","종로구",사직동,총가구,일반가구,1인가구,1033
"서울시","종로구",사직동,총가구,일반가구,비친족(혈연)가구,32
"서울시","종로구",사직동,총가구,일반가구,보통가구,2377
"서울시","종로구",사직동,총가구,집단가구,비혈연 6인이상 가구,2
"서울시","종로구",사직동,총가구,집단가구,집단시설가구,4
"서울시","종로구",사직동,총가구,외국인가구,소계,88
"서울시","종로구",삼청동,총가구,소계,소계,1070
"서울시","종로구",삼청동,총가구,일반가구,소계,1048
"서울시","종로구",삼청동,총가구,일반가구,1인가구,271
"서울시","종로구",삼청동,총가구,일반가구,비친족(혈연)가구,22
"서울시","종로구",삼청동,총가구,일반가구,보통가구,755
"서울시","종로구",삼청동,총가구,집단가구,비혈연 6인이상 가구,2
"서울시","종로구",삼청동,총가구,집단가구,집단시설가구,1
"서울시","종로구",삼청동,총가구,외국인가구,소계,19
"서울시","종로구",부암동,총가구,소계,소계,3477
"서울시","종로구",부암동,총가구,일반가구,소계,3424
"서울시","종로구",부암동,총가구,일반가구,1인가구,693
"서울시","종로구",부암동,총가구,일반가구,비친족(혈연)가구,48
"서울시","종로구",부암동,총가구,일반가구,보통가구,2683
"서울시","종로구",부암동,총가구,집단가구,비혈연 6인이상 가구,5
"서울시","종로구",부암동,총가구,집단가구,집단시설가구,3
"서울시","종로구",부암동,총가구,외국인가구,소계,45
"서울시","종로구",평창동,총가구,소계,소계,5847
"서울시","종로구",평창동,총가구,일반가구,소계,5758
"서울시","종로구",평창동,총가구,일반가구,1인가구,918
"서울시","종로구",평창동,총가구,일반가구,비친족(혈연)가구,61
"서울시","종로구",평창동,총가구,일반가구,보통가구,4779
"서울시","종로구",평창동,총가구,집단가구,비혈연 6인이상 가구,5
"서울시","종로구",평창동,총가구,집단가구,집단시설가구,11
"서울시","종로구",평창동,총가구,외국인가구,소계,73
"서울시","종로구",무악동,총가구,소계,소계,2730
"서울시","종로구",무악동,총가구,일반가구,소계,2715
"서울시","종로구",무악동,총가구,일반가구,1인가구,482
"서울시","종로구",무악동,총가구,일반가구,비친족(혈연)가구,19
"서울시","종로구",무악동,총가구,일반가구,보통가구,2214
"서울시","종로구",무악동,총가구,집단가구,비혈연 6인이상 가구,1
"서울시","종로구",무악동,총가구,집단가구,집단시설가구,-
"서울시","종로구",무악동,총가구,외국인가구,소계,14
"서울시","종로구",교남동,총가구,소계,소계,3203
"서울시","종로구",교남동,총가구,일반가구,소계,3156
"서울시","종로구",교남동,총가구,일반가구,1인가구,1032
"서울시","종로구",교남동,총가구,일반가구,비친족(혈연)가구,39
"서울시","종로구",교남동,총가구,일반가구,보통가구,2085
"서울시","종로구",교남동,총가구,집단가구,비혈연 6인이상 가구,2
"서울시","종로구",교남동,총가구,집단가구,집단시설가구,8
"서울시","종로구",교남동,총가구,외국인가구,소계,37
"서울시","종로구",가회동,총가구,소계,소계,1889
"서울시","종로구",가회동,총가구,일반가구,소계,1855
"서울시","종로구",가회동,총가구,일반가구,1인가구,507
"서울시","종로구",가회동,총가구,일반가구,비친족(혈연)가구,17
"서울시","종로구",가회동,총가구,일반가구,보통가구,1331
"서울시","종로구",가회동,총가구,집단가구,비혈연 6인이상 가구,1
"서울시","종로구",가회동,총가구,집단가구,집단시설가구,1
"서울시","종로구",가회동,총가구,외국인가구,소계,32
"서울시","종로구",종로1.2.3.4가동,총가구,소계,소계,3467
"서울시","종로구",종로1.2.3.4가동,총가구,일반가구,소계,3086
"서울시","종로구",종로1.2.3.4가동,총가구,일반가구,1인가구,1873
"서울시","종로구",종로1.2.3.4가동,총가구,일반가구,비친족(혈연)가구,69
"서울시","종로구",종로1.2.3.4가동,총가구,일반가구,보통가구,1144
"서울시","종로구",종로1.2.3.4가동,총가구,집단가구,비혈연 6인이상 가구,4
"서울시","종로구",종로1.2.3.4가동,총가구,집단가구,집단시설가구,24
"서울시","종로구",종로1.2.3.4가동,총가구,외국인가구,소계,353
"서울시","종로구",종로5.6가동,총가구,소계,소계,2039
"서울시","종로구",종로5.6가동,총가구,일반가구,소계,1928
"서울시","종로구",종로5.6가동,총가구,일반가구,1인가구,735
"서울시","종로구",종로5.6가동,총가구,일반가구,비친족(혈연)가구,19
"서울시","종로구",종로5.6가동,총가구,일반가구,보통가구,1174
"서울시","종로구",종로5.6가동,총가구,집단가구,비혈연 6인이상 가구,-
"서울시","종로구",종로5.6가동,총가구,집단가구,집단시설가구,1
"서울시","종로구",종로5.6가동,총가구,외국인가구,소계,110
"서울시","종로구",이화동,총가구,소계,소계,3703
"서울시","종로구",이화동,총가구,일반가구,소계,3518
